module			 depends on?
perl-file-listing/6.04-gcc-stoo			no
perl-html-parser/			no
perl-html-parser/3.72-gcc-dh33			no
perl-html-tagset/			no
perl-html-tagset/3.20-gcc-j3tr			no
perl-http-cookies/			no
perl-http-cookies/6.04-gcc-o4gq			no
perl-http-daemon/			no
perl-http-daemon/6.01-gcc-aumr			no
perl-http-date/			no
perl-http-date/6.02-gcc-uir5			no
perl-http-message/			no
perl-http-message/6.13-gcc-3ey7			no
perl-http-negotiate/			no
perl-http-negotiate/6.01-gcc-m7o7			no
perl-io-html/			no
perl-io-html/1.001-gcc-axew			no
perl-libwww-perl/			no
perl-libwww-perl/6.33-gcc-3ysk			no
perl-lwp-mediatypes/			no
perl-lwp-mediatypes/6.02-gcc-mrro			no
perl-module-build-tiny/			no
perl-module-build-tiny/0.039-gcc-2hkj			no
perl-module-build/			no
perl-module-build/0.4224-gcc-6yo4			no
perl-net-http/			no
perl-net-http/6.17-gcc-lzpr			no
perl-test-needs/			no
perl-test-needs/0.002005-gcc-j2xb			no
perl-try-tiny/			no
perl-try-tiny/0.28-gcc-kvmr			no
perl-uri/			no
perl-uri/1.72-gcc-2ecb			no
perl-www-robotrules/			no
perl-www-robotrules/6.02-gcc-p5ls			no
perl-xml-parser/			no
perl-xml-parser/2.44-gcc-eio6			no
perl/			no
perl/5.32.0-gcc-vswq			no
perl/5.32.0-intel-jmtl			no
petsc/			no
petsc/3.14.1-gcc-fn73			no
pix4dmapper/			no
pix4dmapper/4.5.6			no
pixman/			no
pixman/0.40.0-gcc-qg23			no
pkgconf/			no
pkgconf/1.7.3-gcc-bfe5			no
pkgconf/1.7.3-intel-6ois			no
plink/			no
plink/2.00a5LM			no
py-absl-py/			no
py-absl-py/0.7.1-gcc-5hls			no
py-astunparse/			no
py-astunparse/1.6.3-gcc-ewop			no
py-bottleneck/			no
py-bottleneck/1.2.1-gcc-5fhc			no
py-cached-property/			no
py-cached-property/1.5.2-gcc-jb3z			no
py-certifi/			no
py-certifi/2020.6.20-gcc-b4zc			no
py-cycler/			no
py-cycler/0.10.0-gcc-jm7c			no
py-cython/			no
py-cython/0.29.21-gcc-3mya			no
py-docutils/			no
py-docutils/0.15.2-gcc-s6oe			no
py-gast/			no
py-gast/0.3.3-gcc-yv4j			no
py-google-pasta/			no
py-google-pasta/0.1.8-gcc-w3eq			no
py-grpcio/			no
py-grpcio/1.32.0-gcc-bxic			no
py-h5py/			no
py-h5py/2.10.0-gcc-ku5k			no
